Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/29/15,walking,walking,2015-10-29T13:03:00-04:00,2015-10-29T13:03:46-04:00,46,0.019,61,0
10/29/15,walking,walking,2015-10-29T13:03:45-04:00,2015-10-29T13:06:47-04:00,182,0.111,281,0
10/29/15,walking,walking,2015-10-29T13:06:47-04:00,2015-10-29T13:06:56-04:00,9,0.004,12,0
10/29/15,walking,walking,2015-10-29T13:14:52-04:00,2015-10-29T13:23:45-04:00,533,0.304,670,0
10/29/15,walking,walking,2015-10-29T13:24:49-04:00,2015-10-29T13:28:53-04:00,244,0.154,331,0
10/29/15,walking,walking,2015-10-29T14:01:22-04:00,2015-10-29T14:02:39-04:00,77,0.033,105,0
10/29/15,walking,walking,2015-10-29T15:02:40-04:00,2015-10-29T15:06:06-04:00,206,0.130,279,0
10/29/15,walking,walking,2015-10-29T16:33:57-04:00,2015-10-29T16:34:15-04:00,18,0.007,24,0
10/29/15,walking,walking,2015-10-29T17:01:24-04:00,2015-10-29T17:03:56-04:00,152,0.094,203,0
10/29/15,walking,walking,2015-10-29T18:04:08-04:00,2015-10-29T18:06:05-04:00,117,0.051,163,0
10/29/15,walking,walking,2015-10-29T19:18:19-04:00,2015-10-29T19:21:00-04:00,161,0.089,132,0
10/29/15,transport,transport,2015-10-29T19:21:00-04:00,2015-10-29T19:33:00-04:00,720,2.736,0,0
10/29/15,walking,walking,2015-10-29T19:33:00-04:00,2015-10-29T19:37:33-04:00,273,0.138,291,0
10/29/15,walking,walking,2015-10-29T19:37:33-04:00,2015-10-29T19:37:45-04:00,12,0.006,20,0
10/29/15,transport,transport,2015-10-29T19:43:56-04:00,2015-10-29T19:47:06-04:00,190,0.900,0,0
10/29/15,walking,walking,2015-10-29T19:47:07-04:00,2015-10-29T19:56:18-04:00,551,0.370,703,0
10/29/15,walking,walking,2015-10-29T20:43:20-04:00,2015-10-29T20:43:32-04:00,12,0.005,16,0
10/29/15,walking,walking,2015-10-29T22:13:31-04:00,2015-10-29T22:13:41-04:00,10,0.004,13,0
10/30/15,walking,walking,2015-10-30T00:04:26-04:00,2015-10-30T00:04:58-04:00,32,0.014,43,0
10/30/15,transport,transport,2015-10-30T00:08:33-04:00,2015-10-30T00:19:13-04:00,640,1.764,0,0
10/30/15,walking,walking,2015-10-30T00:19:28-04:00,2015-10-30T00:19:50-04:00,22,0.009,29,0
